# Datafile created by QuickNXS 2.1.0
# Datafile created using Mantid 4.2.0
# Date: 2023-02-22 14:22:28
# Type: Specular
# Input file indices: 41919,41920,41921,41922
# Extracted states: Off-Off
#
# [Direct Beam Runs]
#    DB_ID        P0        PN     x_pos   x_width     y_pos   y_width    bg_pos  bg_width      dpix       tth    number      File
#        1         0         0       220        10       122       108        18        60       219         0     41916  /SNS/REF_M/IPTS-31275/nexus/REF_M_41916.nxs.h5
#        2         0         0       220        11       122       108        18        60       219         0     41917  /SNS/REF_M/IPTS-31275/nexus/REF_M_41917.nxs.h5
#        3         0         0       220        13       128        97        18        60       219         0     41918  /SNS/REF_M/IPTS-31275/nexus/REF_M_41918.nxs.h5
#        4         0         0       220        13       128        97        18        60       219         0     41918  /SNS/REF_M/IPTS-31275/nexus/REF_M_41918.nxs.h5
#
# [Data Runs]
#    scale        P0        PN     x_pos   x_width     y_pos   y_width    bg_pos  bg_width       fan      dpix       tth    number     DB_ID      File
#   2.4604         1         0     179.5         8     128.5        85        18        60     False       219  4.42979e-14     41919         1  /SNS/REF_M/IPTS-31275/nexus/REF_M_41919.nxs.h5
#   0.6651         1         2       180         7       127        80        18        60     False       219  -2.72671e-13     41920         2  /SNS/REF_M/IPTS-31275/nexus/REF_M_41920.nxs.h5
# 0.375837         0         0       180         7       127        80        18        60     False       219  0.535074     41921         3  /SNS/REF_M/IPTS-31275/nexus/REF_M_41921.nxs.h5
# 0.271019         1         0       181         9       127        80        18        60     False       219   1.46562     41922         4  /SNS/REF_M/IPTS-31275/nexus/REF_M_41922.nxs.h5
#
# [Global Options]
# name           value
# sample_length  10.0
#
# [Data]
#     Qz [1/A]	    R [a.u.]	   dR [a.u.]	   dQz [1/A]
9.666560e-03       1.018704e+00       8.693184e-03       3.254518e-04      
9.760557e-03       1.005363e+00       8.129100e-03       3.286378e-04      
9.856400e-03       9.879969e-01       7.771322e-03       3.318869e-04      
9.954143e-03       9.865584e-01       7.477300e-03       3.352011e-04      
1.005384e-02       1.010663e+00       7.397603e-03       3.385825e-04      
1.015556e-02       9.840842e-01       7.092420e-03       3.420330e-04      
1.025936e-02       9.825979e-01       6.895801e-03       3.455548e-04      
1.036530e-02       9.463952e-01       6.575576e-03       3.491501e-04      
1.047346e-02       9.480117e-01       6.396072e-03       3.528214e-04      
1.058389e-02       9.396598e-01       6.225179e-03       3.565710e-04      
1.069668e-02       9.283140e-01       6.052550e-03       3.604014e-04      
1.081190e-02       9.264798e-01       5.940634e-03       3.643153e-04      
1.092962e-02       8.955747e-01       5.748141e-03       3.683156e-04      
1.104994e-02       8.534802e-01       5.507423e-03       3.724050e-04      
1.117294e-02       8.218416e-01       5.299681e-03       3.765867e-04      
1.129870e-02       7.972351e-01       5.060976e-03       3.808637e-04      
1.142733e-02       7.775090e-01       4.845323e-03       3.852395e-04      
1.155892e-02       7.601258e-01       4.623293e-03       3.897174e-04      
1.169358e-02       7.346568e-01       4.378855e-03       3.943011e-04      
1.183141e-02       6.978025e-01       4.131657e-03       3.989944e-04      
1.197253e-02       6.608969e-01       3.877927e-03       4.038014e-04      
1.211706e-02       6.157125e-01       3.618860e-03       4.087262e-04      
1.226512e-02       5.745074e-01       3.378575e-03       4.137732e-04      
1.241684e-02       5.283571e-01       3.136109e-03       4.189471e-04      
1.257236e-02       4.860888e-01       2.929344e-03       4.242526e-04      
1.273183e-02       4.395520e-01       2.700921e-03       4.296951e-04      
1.289540e-02       3.992776e-01       2.508044e-03       4.352797e-04      
1.306322e-02       3.558723e-01       2.302191e-03       4.410123e-04      
1.323547e-02       3.124933e-01       2.105864e-03       4.468987e-04      
1.341232e-02       2.794928e-01       1.938702e-03       4.529454e-04      
1.359396e-02       2.430852e-01       1.760910e-03       4.591590e-04      
1.378059e-02       2.107778e-01       1.601536e-03       4.655465e-04      
1.397242e-02       1.805828e-01       1.463229e-03       4.721153e-04      
1.402573e-02       1.752616e-01       1.654703e-03       4.792950e-04      
1.416966e-02       1.534387e-01       1.320483e-03       4.788735e-04      
1.422707e-02       1.480917e-01       1.457553e-03       4.862731e-04      
1.443428e-02       1.194308e-01       1.258913e-03       4.934588e-04      
1.464761e-02       1.051910e-01       1.136453e-03       5.008615e-04      
1.486735e-02       8.991235e-02       1.011263e-03       5.084914e-04      
1.509378e-02       7.757190e-02       9.099305e-04       5.163591e-04      
