# Datafile created by QuickNXS 2.1.0
# Datafile created using Mantid 4.2.0
# Date: 2023-02-22 16:10:41
# Type: Specular
# Input file indices: 41919,41920,41921,41922,41923,41924
# Extracted states: Off-Off
#
# [Direct Beam Runs]
#    DB_ID        P0        PN     x_pos   x_width     y_pos   y_width    bg_pos  bg_width      dpix       tth    number      File
#        1         0         0     220.1        11     125.5       110        30        20       219         0     41916  /SNS/REF_M/IPTS-31275/nexus/REF_M_41916.nxs.h5
#        2         0         0     220.1        11     125.5       110        30        20       219         0     41917  /SNS/REF_M/IPTS-31275/nexus/REF_M_41917.nxs.h5
#        3         0         0     220.5        13     125.5       110        30        20       219         0     41918  /SNS/REF_M/IPTS-31275/nexus/REF_M_41918.nxs.h5
#        4         0         0     220.5        13     125.5       110        30        20       219         0     41918  /SNS/REF_M/IPTS-31275/nexus/REF_M_41918.nxs.h5
#        5         0         0     220.5        13     125.5       110        30        20       219         0     41918  /SNS/REF_M/IPTS-31275/nexus/REF_M_41918.nxs.h5
#        6         0         0     220.5        13     125.5       110        30        20       219         0     41918  /SNS/REF_M/IPTS-31275/nexus/REF_M_41918.nxs.h5
#
# [Data Runs]
#    scale        P0        PN     x_pos   x_width     y_pos   y_width    bg_pos  bg_width       fan      dpix       tth    number     DB_ID      File
#   3.1329         3         3     179.5         9     125.5       110        30        20     False       219  4.42979e-14     41919         1  /SNS/REF_M/IPTS-31275/nexus/REF_M_41919.nxs.h5
#   0.6094         3         6     179.5         7     128.5        85        30        20     False       219  4.42979e-14     41920         2  /SNS/REF_M/IPTS-31275/nexus/REF_M_41920.nxs.h5
#   0.3321         3         6     180.5         7     128.5        85        30        20     False       219  0.535074     41921         3  /SNS/REF_M/IPTS-31275/nexus/REF_M_41921.nxs.h5
#   0.2401         2         3       181         9     128.5        85        30        20     False       219   1.46562     41922         4  /SNS/REF_M/IPTS-31275/nexus/REF_M_41922.nxs.h5
#   0.1724         3         1     181.5        10     128.5        85        30        20     False       219   3.10337     41923         5  /SNS/REF_M/IPTS-31275/nexus/REF_M_41923.nxs.h5
# 0.198609         3         1     182.9        12     128.5        62       230        20     False       219   5.97593     41924         6  /SNS/REF_M/IPTS-31275/nexus/REF_M_41924.nxs.h5
#
# [Global Options]
# name           value
# sample_length  10.0
#
# [Data]
#     Qz [1/A]	    R [a.u.]	   dR [a.u.]	   dQz [1/A]	 theta [rad]
9.634487e-03      	1.020017e+00      	8.844181e-03      	3.243855e-04      	6.018720e-03      
9.727858e-03      	1.032649e+00      	8.313847e-03      	3.275506e-04      	6.018720e-03      
9.823056e-03      	1.008385e+00      	7.894878e-03      	3.307783e-04      	6.018720e-03      
9.920137e-03      	9.889476e-01      	7.510602e-03      	3.340705e-04      	6.018720e-03      
1.001915e-02      	1.016999e+00      	7.408104e-03      	3.374291e-04      	6.018720e-03      
1.012017e-02      	1.012458e+00      	7.221356e-03      	3.408562e-04      	6.018720e-03      
1.022324e-02      	9.849095e-01      	6.898942e-03      	3.443538e-04      	6.018720e-03      
1.032844e-02      	9.709113e-01      	6.678880e-03      	3.479242e-04      	6.018720e-03      
1.043582e-02      	9.565754e-01      	6.436648e-03      	3.515698e-04      	6.018720e-03      
1.054545e-02      	9.466701e-01      	6.239703e-03      	3.552928e-04      	6.018720e-03      
1.065742e-02      	9.536315e-01      	6.151068e-03      	3.590959e-04      	6.018720e-03      
1.077179e-02      	9.235416e-01      	5.907000e-03      	3.629815e-04      	6.018720e-03      
1.088864e-02      	9.035327e-01      	5.741940e-03      	3.669526e-04      	6.018720e-03      
1.100805e-02      	8.779760e-01      	5.588407e-03      	3.710118e-04      	6.018720e-03      
1.113011e-02      	8.343467e-01      	5.342883e-03      	3.751623e-04      	6.018720e-03      
1.125491e-02      	8.058644e-01      	5.104972e-03      	3.794071e-04      	6.018720e-03      
1.138254e-02      	7.828916e-01      	4.870358e-03      	3.837494e-04      	6.018720e-03      
1.151309e-02      	7.647243e-01      	4.659721e-03      	3.881928e-04      	6.018720e-03      
1.164668e-02      	7.468311e-01      	4.443664e-03      	3.927408e-04      	6.018720e-03      
1.178340e-02      	7.133377e-01      	4.194907e-03      	3.973971e-04      	6.018720e-03      
1.192337e-02      	6.732827e-01      	3.926993e-03      	4.021656e-04      	6.018720e-03      
1.206671e-02      	6.321020e-01      	3.686719e-03      	4.070506e-04      	6.018720e-03      
1.221353e-02      	5.851584e-01      	3.422441e-03      	4.120564e-04      	6.018720e-03      
1.236397e-02      	5.439975e-01      	3.189768e-03      	4.171874e-04      	6.018720e-03      
1.251816e-02      	4.968380e-01      	2.968450e-03      	4.224485e-04      	6.018720e-03      
1.267625e-02      	4.545119e-01      	2.754013e-03      	4.278448e-04      	6.018720e-03      
1.283838e-02      	4.130376e-01      	2.553267e-03      	4.333814e-04      	6.018720e-03      
1.300471e-02      	3.695923e-01      	2.351034e-03      	4.390641e-04      	6.018720e-03      
1.317541e-02      	3.266389e-01      	2.156167e-03      	4.448987e-04      	6.018720e-03      
1.335065e-02      	2.895005e-01      	1.975751e-03      	4.508914e-04      	6.018720e-03      
1.353062e-02      	2.542108e-01      	1.803885e-03      	4.570487e-04      	6.018720e-03      
1.371550e-02      	2.220926e-01      	1.644464e-03      	4.633776e-04      	6.018720e-03      
1.381101e-02      	2.038656e-01      	2.241670e-03      	4.665981e-04      	6.018720e-03      
1.390550e-02      	1.903699e-01      	1.498161e-03      	4.698854e-04      	6.018720e-03      
1.400369e-02      	1.753406e-01      	1.689798e-03      	4.731973e-04      	6.018720e-03      
1.410085e-02      	1.621225e-01      	1.357114e-03      	4.765798e-04      	6.018720e-03      
1.420182e-02      	1.487659e-01      	1.422018e-03      	4.799870e-04      	6.018720e-03      
1.440564e-02      	1.243803e-01      	1.244666e-03      	4.869758e-04      	6.018720e-03      
1.461539e-02      	9.981848e-02      	1.073199e-03      	4.941726e-04      	6.018720e-03      
1.483134e-02      	8.754101e-02      	9.666257e-04      	5.015868e-04      	6.018720e-03      
1.505377e-02      	7.442770e-02      	8.570176e-04      	5.092286e-04      	6.018720e-03      
1.528297e-02      	6.376075e-02      	7.686592e-04      	5.171086e-04      	6.018720e-03      
1.551926e-02      	5.289600e-02      	6.849097e-04      	5.252383e-04      	6.018720e-03      
1.576297e-02      	4.582156e-02      	6.247206e-04      	5.336297e-04      	6.018720e-03      
1.601446e-02      	3.767451e-02      	5.692911e-04      	5.422959e-04      	6.018720e-03      
1.627410e-02      	3.399281e-02      	5.361531e-04      	5.512506e-04      	6.018720e-03      
1.654230e-02      	2.975380e-02      	4.873863e-04      	5.605087e-04      	6.018720e-03      
1.681949e-02      	2.744267e-02      	4.634632e-04      	5.700859e-04      	6.018720e-03      
1.710613e-02      	2.472001e-02      	4.380143e-04      	5.799992e-04      	6.018720e-03      
1.740270e-02      	2.309403e-02      	4.171720e-04      	5.902667e-04      	6.018720e-03      
1.770974e-02      	2.163394e-02      	3.950228e-04      	6.009079e-04      	6.018720e-03      
1.802781e-02      	2.097709e-02      	3.860499e-04      	6.119439e-04      	6.018720e-03      
1.835751e-02      	1.981956e-02      	3.783841e-04      	6.233971e-04      	6.018720e-03      
1.869950e-02      	1.978840e-02      	3.912479e-04      	6.352920e-04      	6.018720e-03      
1.905447e-02      	1.782369e-02      	3.580467e-04      	6.476548e-04      	6.018720e-03      
1.942318e-02      	1.762716e-02      	3.450707e-04      	6.605141e-04      	6.018720e-03      
1.980644e-02      	1.840420e-02      	3.426244e-04      	6.739005e-04      	6.018720e-03      
2.020513e-02      	1.712325e-02      	3.248124e-04      	6.878477e-04      	6.018720e-03      
2.062020e-02      	1.629726e-02      	3.157637e-04      	7.023919e-04      	6.018720e-03      
2.105268e-02      	1.524229e-02      	2.997713e-04      	7.175727e-04      	6.018720e-03      
2.150369e-02      	1.412893e-02      	2.856625e-04      	7.334336e-04      	6.018720e-03      
2.197445e-02      	1.320115e-02      	2.725647e-04      	7.500216e-04      	6.018720e-03      
2.246628e-02      	1.247005e-02      	2.585544e-04      	7.673886e-04      	6.018720e-03      
2.298063e-02      	1.186035e-02      	2.497871e-04      	7.855916e-04      	6.018720e-03      
2.351908e-02      	1.104905e-02      	2.360118e-04      	8.046932e-04      	6.018720e-03      
2.408337e-02      	1.002921e-02      	2.218084e-04      	8.247625e-04      	6.018720e-03      
2.417583e-02      	1.001002e-02      	2.113206e-04      	8.193361e-04      	1.053575e-02      
2.451311e-02      	9.336546e-03      	1.702169e-04      	8.309231e-04      	1.053575e-02      
