# Datafile created by QuickNXS 2.1.0
# Datafile created using Mantid 4.2.0
# Date: 2023-02-22 22:39:06
# Type: Specular
# Input file indices: 41931,41932,41933,41934,41935,41936
# Extracted states: Off-Off
#
# [Direct Beam Runs]
#    DB_ID        P0        PN     x_pos   x_width     y_pos   y_width    bg_pos  bg_width      dpix       tth    number      File
#        1         0         0       220        10       122       108        18        60       219         0     41916  /SNS/REF_M/IPTS-31275/nexus/REF_M_41916.nxs.h5
#        2         0         0       220        13       128        97        18        60       219         0     41918  /SNS/REF_M/IPTS-31275/nexus/REF_M_41918.nxs.h5
#        3         0         0       220        13       128        97        18        60       219         0     41918  /SNS/REF_M/IPTS-31275/nexus/REF_M_41918.nxs.h5
#        4         0         0       220        13       128        97        18        60       219         0     41918  /SNS/REF_M/IPTS-31275/nexus/REF_M_41918.nxs.h5
#        5         0         0       220        13       128        97        18        60       219         0     41918  /SNS/REF_M/IPTS-31275/nexus/REF_M_41918.nxs.h5
#        6         0         0       220        13       128        97        18        60       219         0     41918  /SNS/REF_M/IPTS-31275/nexus/REF_M_41918.nxs.h5
#
# [Data Runs]
#    scale        P0        PN     x_pos   x_width     y_pos   y_width    bg_pos  bg_width       fan      dpix       tth    number     DB_ID      File
#   2.7861         1         0       177         9       127        80        18        60     False       219  -0.174156     41931         1  /SNS/REF_M/IPTS-31275/nexus/REF_M_41931.nxs.h5
#   0.6259         1         0       177         8       127        80        18        60     False       219  -0.174156     41932         2  /SNS/REF_M/IPTS-31275/nexus/REF_M_41932.nxs.h5
#    0.411         1         0       178         8       130        80        25        30     False       219  0.244434     41933         3  /SNS/REF_M/IPTS-31275/nexus/REF_M_41933.nxs.h5
#   0.2496         1         0       179         8       127        80        19        30     False       219  0.960737     41934         4  /SNS/REF_M/IPTS-31275/nexus/REF_M_41934.nxs.h5
#   0.1482         1         0       179         8       127        80        19        30     False       219   2.22341     41935         5  /SNS/REF_M/IPTS-31275/nexus/REF_M_41935.nxs.h5
# 0.0981748         1         0       181        12       133        65       272        30     False       219   4.43631     41936         6  /SNS/REF_M/IPTS-31275/nexus/REF_M_41936.nxs.h5
#
# [Global Options]
# name           value
# sample_length  10.0
#
# [Data]
#     Qz [1/A]	    R [a.u.]	   dR [a.u.]	   dQz [1/A]
7.837465e-03       9.758786e-01       9.762336e-03       2.496821e-04      
7.913675e-03       9.591093e-01       9.109261e-03       2.521282e-04      
7.991383e-03       9.691142e-01       8.839870e-03       2.546229e-04      
8.070631e-03       9.586545e-01       8.466278e-03       2.571676e-04      
8.151468e-03       9.758449e-01       8.346895e-03       2.597639e-04      
8.233939e-03       9.670862e-01       8.079984e-03       2.624134e-04      
8.318097e-03       9.740386e-01       7.888896e-03       2.651177e-04      
8.403993e-03       9.825765e-01       7.712542e-03       2.678786e-04      
8.491681e-03       9.829767e-01       7.495029e-03       2.706978e-04      
8.581219e-03       9.844896e-01       7.335819e-03       2.735773e-04      
8.672665e-03       1.002887e+00       7.249822e-03       2.765189e-04      
8.766080e-03       1.017101e+00       7.175866e-03       2.795247e-04      
8.861530e-03       1.028075e+00       7.108455e-03       2.825969e-04      
8.959082e-03       1.004129e+00       6.897826e-03       2.857378e-04      
9.058805e-03       9.802877e-01       6.690643e-03       2.889495e-04      
9.160774e-03       9.677325e-01       6.446980e-03       2.922346e-04      
9.265064e-03       9.996167e-01       6.359860e-03       2.955957e-04      
9.371756e-03       1.019708e+00       6.205940e-03       2.990353e-04      
9.480934e-03       1.008151e+00       5.948203e-03       3.025564e-04      
9.592685e-03       1.002861e+00       5.750142e-03       3.061618e-04      
9.707103e-03       9.313886e-01       5.340439e-03       3.098546e-04      
9.824282e-03       8.589581e-01       4.956239e-03       3.136381e-04      
9.944326e-03       7.620742e-01       4.506611e-03       3.175157e-04      
1.006734e-02       6.583580e-01       4.049349e-03       3.214908e-04      
1.019343e-02       5.592962e-01       3.629916e-03       3.255674e-04      
1.032273e-02       4.709229e-01       3.226270e-03       3.297493e-04      
1.045534e-02       4.161203e-01       2.953344e-03       3.340408e-04      
1.059141e-02       3.661633e-01       2.694479e-03       3.384461e-04      
1.073107e-02       3.359625e-01       2.520662e-03       3.429699e-04      
1.087445e-02       3.033730e-01       2.331760e-03       3.476171e-04      
1.102173e-02       2.751468e-01       2.163542e-03       3.523928e-04      
1.117304e-02       2.560845e-01       2.039597e-03       3.573025e-04      
1.132857e-02       2.303392e-01       1.910020e-03       3.623519e-04      
1.148849e-02       2.173792e-01       1.817685e-03       3.675472e-04      
1.151758e-02       2.173663e-01       1.981091e-03       3.683594e-04      
1.168292e-02       1.933415e-01       1.779941e-03       3.737330e-04      
1.185308e-02       1.749629e-01       1.627973e-03       3.792669e-04      
